# B2 Vorstellungsgespräch & Karriere (Job Interview & Career Negotiations)
# Format: German phrase; English meaning

Ich habe mich über Ihr Unternehmen ausführlich informiert.; I have informed myself in detail about your company.
Meine Stärken liegen vor allem im analytischen Denken und in der Teamarbeit.; My strengths lie above all in analytical thinking and teamwork.
In meiner vorherigen Position war ich zuständig für...; In my previous position I was responsible for...
Ich suche eine neue berufliche Herausforderung mit Entwicklungspotenzial.; I am seeking a new professional challenge with development potential.
Wie gestaltet sich die sechsmonatige Probezeit in Ihrem Betrieb?; How is the six-month probationary period structured in your company?
Meine Gehaltsvorstellung liegt bei ca. 55.000 Euro brutto im Jahr.; My salary expectation is around 55,000 euros gross per year.
Gibt es in Ihrem Unternehmen Möglichkeiten zur gezielten Weiterbildung?; Are there opportunities for targeted further training in your company?
Wie sieht ein typischer Arbeitsalltag in dieser Position aus?; What does a typical working day look like in this position?
Welche Kündigungsfrist gilt laut dem aktuellen Arbeitsvertrag?; What notice period applies according to the current employment contract?
Ich kann mich sehr schnell in neue Arbeitsabläufe und Software einarbeiten.; I can quickly familiarize myself with new workflows and software.
Ich schätze flache Hierarchien und eine offene Feedbackkultur.; I value flat hierarchies and an open feedback culture.
In stressigen Situationen behalte ich stets den Überblick.; In stressful situations I always keep a clear overview.
Wir bieten Ihnen ein 13. Monatsgehalt und betriebliche Altersvorsorge.; We offer you a 13th month salary and company pension scheme.
Ab wann könnten Sie diese Stelle frühestens antreten?; What is the earliest date you could start this position?
Ich stehe Ihnen ab dem ersten nächsten Monats zur Verfügung.; I am at your disposal starting on the first of next month.
Wir melden uns bis Ende der Woche mit einer Entscheidung bei Ihnen.; We will get back to you by the end of the week with a decision.
Vielen Dank für das angenehme und aufschlussreiche Gespräch!; Thank you very much for the pleasant and insightful interview!
