German;English
Ich habe heute echt überhaupt keinen Bock auf Aufräumen!;I really have zero desire / mojo to tidy up today!
Morgen habe ich meine Fahrprüfung – drück mir die Daumen!;Tomorrow is my driving test – cross your fingers for me!
Ich drücke dir ganz fest beide Daumen, du schaffst das!;I'm keeping my fingers firmly crossed for you, you've got this!
Da bist du aber ganz schön ins Fettnäpfchen getreten!;You really put your foot in your mouth there!
Dieser ständige Baulärm geht mir tierisch auf den Keks!;This constant construction noise is getting on my nerves big time!
Nach dieser harten Arbeitswoche bin ich völlig fix und fertig!;After this tough work week I am completely exhausted / wiped out!
Da hast du aber echt Schwein gehabt, dass der Zug gewartet hat!;You got really lucky there that the train waited!
Ich verstehe nur Bahnhof, kannst du das nochmal erklären?;It's all Greek to me, could you explain that once again?
Warte mal kurz, ich stehe gerade völlig auf dem Schlauch!;Hold on a second, my mind has gone totally blank / I'm lost!
Ich habe die Nase voll von deinen ständigen Ausreden!;I am fed up to the back teeth with your constant excuses!
Lass uns nicht um den heißen Brei herumreden, sondern ehrlich sein!;Let's not beat around the bush, let's be honest!
Mach dir keine Sorgen, alles ist in bester Butter!;Don't worry, everything is in tip-top shape / all good!
Das ist ja wirklich ein zweischneidiges Schwert.;That really is a double-edged sword.
Komm schon, spring über deinen eigenen Schatten!;Come on, step out of your comfort zone!
Man soll den Tag nicht vor dem Abend loben!;Don't count your chickens before they hatch!
Wir müssen jetzt die Zähne zusammenbeißen und durchhalten!;We just have to grit our teeth now and push through!
Das hat mich wirklich wie ein Blitz aus heiterem Himmel getroffen!;That truly hit me like a bolt out of the blue!
Mach aus einer Mücke doch bitte keinen Elefanten!;Please don't make a mountain out of a molehill!
Das ist leider Schnee von gestern, blicken wir nach vorne!;Unfortunately that is water under the bridge, let's look forward!
Na dann, toi, toi, toi für deinen Neuanfang!;Well then, the best of luck for your fresh start!
